   Block   Cylinder   Track   Sector
   -----   --------   -----   ------
      1       0         0       0
      2       0         0       2
      3       0         0       4
      4       0         0       6
      5       0         0       8
      6       0         1       1
      7       0         1       3
      8       0         1       5
      9       0         1       7
     10       1         0       0
     11       1         0       2
     12       1         0       4
     13       1         0       6
     14       1         0       8
     15       1         1       1
     16       1         1       3
     17       1         1       5
     18       1         1       7
     19       2         0       0
     20       2         0       2
     21       2         0       4
     22       2         0       6
     23       2         0       8
     24       2         1       1
     25       2         1       3
     26       2         1       5
     27       2         1       7
     28       3         0       0
     29       3         0       2
     30       3         0       4
     31       3         0       6
     32       3         0       8
     33       3         1       1
     34       3         1       3
     35       3         1       5
     36       3         1       7
     37       4         0       0
     38       4         0       2
     39       4         0       4
     40       4         0       6
     41       4         0       8
     42       4         1       1
     43       4         1       3
     44       4         1       5
     45       4         1       7
     46       5         0       0
     47       5         0       2
     48       5         0       4
     49       5         0       6
     50       5         0       8
     51       5         1       1
     52       5         1       3
     53       5         1       5
     54       5         1       7
     55       6         0       0
     56       6         0       2
     57       6         0       4
     58       6         0       6
     59       6         0       8
     60       6         1       1
     61       6         1       3
     62       6         1       5
     63       6         1       7
     64       7         0       0
     65       7         0       2
     66       7         0       4
     67       7         0       6
     68       7         0       8
     69       7         1       1
     70       7         1       3
     71       7         1       5
     72       7         1       7
     73       8         0       0
     74       8         0       2
     75       8         0       4
     76       8         0       6
     77       8         0       8
     78       8         1       1
     79       8         1       3
     80       8         1       5
     81       8         1       7
     82       9         0       0
     83       9         0       2
     84       9         0       4
     85       9         0       6
     86       9         0       8
     87       9         1       1
     88       9         1       3
     89       9         1       5
     90       9         1       7
     91      10         0       0
     92      10         0       2
     93      10         0       4
     94      10         0       6
     95      10         0       8
     96      10         1       1
     97      10         1       3
     98      10         1       5
     99      10         1       7
    100      11         0       0
    101      11         0       2
    102      11         0       4
    103      11         0       6
    104      11         0       8
    105      11         1       1
    106      11         1       3
    107      11         1       5
    108      11         1       7
    109      12         0       0
    110      12         0       2
    111      12         0       4
    112      12         0       6
    113      12         0       8
    114      12         1       1
    115      12         1       3
    116      12         1       5
    117      12         1       7
    118      13         0       0
    119      13         0       2
    120      13         0       4
    121      13         0       6
    122      13         0       8
    123      13         1       1
    124      13         1       3
    125      13         1       5
    126      13         1       7
    127      14         0       0
    128      14         0       2
    129      14         0       4
    130      14         0       6
    131      14         0       8
    132      14         1       1
    133      14         1       3
    134      14         1       5
    135      14         1       7
    136      15         0       0
    137      15         0       2
    138      15         0       4
    139      15         0       6
    140      15         0       8
    141      15         1       1
    142      15         1       3
    143      15         1       5
    144      15         1       7
    145      16         0       0
    146      16         0       2
    147      16         0       4
    148      16         0       6
    149      16         0       8
    150      16         1       1
    151      16         1       3
    152      16         1       5
    153      16         1       7
    154      17         0       0
    155      17         0       2
    156      17         0       4
    157      17         0       6
    158      17         0       8
    159      17         1       1
    160      17         1       3
    161      17         1       5
    162      17         1       7
    163      18         0       0
    164      18         0       2
    165      18         0       4
    166      18         0       6
    167      18         0       8
    168      18         1       1
    169      18         1       3
    170      18         1       5
    171      18         1       7
    172      19         0       0
    173      19         0       2
    174      19         0       4
    175      19         0       6
    176      19         0       8
    177      19         1       1
    178      19         1       3
    179      19         1       5
    180      19         1       7
    181      20         0       0
    182      20         0       2
    183      20         0       4
    184      20         0       6
    185      20         0       8
    186      20         1       1
    187      20         1       3
    188      20         1       5
    189      20         1       7
    190      21         0       0
    191      21         0       2
    192      21         0       4
    193      21         0       6
    194      21         0       8
    195      21         1       1
    196      21         1       3
    197      21         1       5
    198      21         1       7
    199      22         0       0
    200      22         0       2
    201      22         0       4
    202      22         0       6
    203      22         0       8
    204      22         1       1
    205      22         1       3
    206      22         1       5
    207      22         1       7
    208      23         0       0
    209      23         0       2
    210      23         0       4
    211      23         0       6
    212      23         0       8
    213      23         1       1
    214      23         1       3
    215      23         1       5
    216      23         1       7
    217      24         0       0
    218      24         0       2
    219      24         0       4
    220      24         0       6
    221      24         0       8
    222      24         1       1
    223      24         1       3
    224      24         1       5
    225      24         1       7
    226      25         0       0
    227      25         0       2
    228      25         0       4
    229      25         0       6
    230      25         0       8
    231      25         1       1
    232      25         1       3
    233      25         1       5
    234      25         1       7
    235      26         0       0
    236      26         0       2
    237      26         0       4
    238      26         0       6
    239      26         0       8
    240      26         1       1
    241      26         1       3
    242      26         1       5
    243      26         1       7
    244      27         0       0
    245      27         0       2
    246      27         0       4
    247      27         0       6
    248      27         0       8
    249      27         1       1
    250      27         1       3
    251      27         1       5
    252      27         1       7
    253      28         0       0
    254      28         0       2
    255      28         0       4
    256      28         0       6
    257      28         0       8
    258      28         1       1
    259      28         1       3
    260      28         1       5
    261      28         1       7
    262      29         0       0
    263      29         0       2
    264      29         0       4
    265      29         0       6
    266      29         0       8
    267      29         1       1
    268      29         1       3
    269      29         1       5
    270      29         1       7
    271      30         0       0
    272      30         0       2
    273      30         0       4
    274      30         0       6
    275      30         0       8
    276      30         1       1
    277      30         1       3
    278      30         1       5
    279      30         1       7
    280      31         0       0
    281      31         0       2
    282      31         0       4
    283      31         0       6
    284      31         0       8
    285      31         1       1
    286      31         1       3
    287      31         1       5
    288      31         1       7
    289      32         0       0
    290      32         0       2
    291      32         0       4
    292      32         0       6
    293      32         0       8
    294      32         1       1
    295      32         1       3
    296      32         1       5
    297      32         1       7
    298      33         0       0
    299      33         0       2
    300      33         0       4
    301      33         0       6
    302      33         0       8
    303      33         1       1
    304      33         1       3
    305      33         1       5
    306      33         1       7
    307      34         0       0
    308      34         0       2
    309      34         0       4
    310      34         0       6
    311      34         0       8
    312      34         1       1
    313      34         1       3
    314      34         1       5
    315      34         1       7
    316      35         0       0
    317      35         0       2
    318      35         0       4
    319      35         0       6
    320      35         0       8
    321      35         1       1
    322      35         1       3
    323      35         1       5
    324      35         1       7
    325      36         0       0
    326      36         0       2
    327      36         0       4
    328      36         0       6
    329      36         0       8
    330      36         1       1
    331      36         1       3
    332      36         1       5
    333      36         1       7
    334      37         0       0
    335      37         0       2
    336      37         0       4
    337      37         0       6
    338      37         0       8
    339      37         1       1
    340      37         1       3
    341      37         1       5
    342      37         1       7
    343      38         0       0
    344      38         0       2
    345      38         0       4
    346      38         0       6
    347      38         0       8
    348      38         1       1
    349      38         1       3
    350      38         1       5
    351      38         1       7
    352      39         0       0
    353      39         0       2
    354      39         0       4
    355      39         0       6
    356      39         0       8
    357      39         1       1
    358      39         1       3
    359      39         1       5
    360      39         1       7
